Sexo;Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
Ambos sexos;Total Nacional;Total;2022;47.018,1
Ambos sexos;Total Nacional;Total;2021;46.835,5
Ambos sexos;Total Nacional;Total;2020;46.896
Ambos sexos;Total Nacional;Total;2019;46.654,5
Ambos sexos;Total Nacional;Total;2018;46.296,3
Ambos sexos;Total Nacional;Total;2017;46.079,7
Ambos sexos;Total Nacional;Total;2016;45.977,8
Ambos sexos;Total Nacional;Total;2015;45.967
Ambos sexos;Total Nacional;Total;2014;45.994,9
Ambos sexos;Total Nacional;Total;2013;46.145,7
Ambos sexos;Total Nacional;Total;2012;46.324,5
Ambos sexos;Total Nacional;Total;2011;46.306,8
Ambos sexos;Total Nacional;Total;2010;46.149,1
Ambos sexos;Total Nacional;Total;2009;45.964,5
Ambos sexos;Total Nacional;Total;2008;45.589,3
Ambos sexos;Total Nacional;Total;2007;44.873,6
Ambos sexos;Total Nacional;Total;2006;44.024,8
Ambos sexos;Total Nacional;Española;2022;41.589,1
Ambos sexos;Total Nacional;Española;2021;41.648,6
Ambos sexos;Total Nacional;Española;2020;41.926,1
Ambos sexos;Total Nacional;Española;2019;41.880,1
Ambos sexos;Total Nacional;Española;2018;41.830,1
Ambos sexos;Total Nacional;Española;2017;41.788,6
Ambos sexos;Total Nacional;Española;2016;41.754,4
Ambos sexos;Total Nacional;Española;2015;41.723,8
Ambos sexos;Total Nacional;Española;2014;41.665,8
Ambos sexos;Total Nacional;Española;2013;41.499
Ambos sexos;Total Nacional;Española;2012;41.414,3
Ambos sexos;Total Nacional;Española;2011;41.300,7
Ambos sexos;Total Nacional;Española;2010;41.063,1
Ambos sexos;Total Nacional;Española;2009;40.811,2
Ambos sexos;Total Nacional;Española;2008;40.594
Ambos sexos;Total Nacional;Española;2007;40.341,1
Ambos sexos;Total Nacional;Española;2006;40.110,4
Ambos sexos;Total Nacional;Extranjera: Total;2022;5.429
Ambos sexos;Total Nacional;Extranjera: Total;2021;5.186,8
Ambos sexos;Total Nacional;Extranjera: Total;2020;4.969,9
Ambos sexos;Total Nacional;Extranjera: Total;2019;4.774,4
Ambos sexos;Total Nacional;Extranjera: Total;2018;4.466,3
Ambos sexos;Total Nacional;Extranjera: Total;2017;4.291,1
Ambos sexos;Total Nacional;Extranjera: Total;2016;4.223,3
Ambos sexos;Total Nacional;Extranjera: Total;2015;4.243,2
Ambos sexos;Total Nacional;Extranjera: Total;2014;4.329,1
Ambos sexos;Total Nacional;Extranjera: Total;2013;4.646,7
Ambos sexos;Total Nacional;Extranjera: Total;2012;4.910,3
Ambos sexos;Total Nacional;Extranjera: Total;2011;5.006
Ambos sexos;Total Nacional;Extranjera: Total;2010;5.086
Ambos sexos;Total Nacional;Extranjera: Total;2009;5.153,3
Ambos sexos;Total Nacional;Extranjera: Total;2008;4.995,3
Ambos sexos;Total Nacional;Extranjera: Total;2007;4.532,5
Ambos sexos;Total Nacional;Extranjera: Total;2006;3.914,4
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2022;1.557,6
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2021;1.543,2
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2020;1.544,9
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2019;1.748,5
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2018;1.646,2
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2017;1.602,8
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2016;1.595,2
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2015;1.556,8
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2014;1.617,1
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2013;1.605,4
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2012;1.643
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2011;1.611,9
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2010;1.623,8
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2009;1.565,4
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2008;1.559,7
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2007;1.391,6
Ambos sexos;Total Nacional;Extranjera: Unión Europea;2006;602,5
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2022;3.871,4
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2021;3.643,6
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2020;3.425
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2019;3.025,9
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2018;2.820
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2017;2.688,3
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2016;2.628,1
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2015;2.686,4
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2014;2.711,9
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2013;3.041,2
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2012;3.267,3
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2011;3.394,2
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2010;3.462,2
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2009;3.588
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2008;3.435,6
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2007;3.141
Ambos sexos;Total Nacional;Extranjera: No pertenecientes a la Unión Europea;2006;3.311,9
Ambos sexos;01 Andalucía;Total;2022;8.466
Ambos sexos;01 Andalucía;Total;2021;8.436,5
Ambos sexos;01 Andalucía;Total;2020;8.426,5
Ambos sexos;01 Andalucía;Total;2019;8.392,1
Ambos sexos;01 Andalucía;Total;2018;8.352,4
Ambos sexos;01 Andalucía;Total;2017;8.347,5
Ambos sexos;01 Andalucía;Total;2016;8.345,3
Ambos sexos;01 Andalucía;Total;2015;8.343,9
Ambos sexos;01 Andalucía;Total;2014;8.335,2
Ambos sexos;01 Andalucía;Total;2013;8.332,7
Ambos sexos;01 Andalucía;Total;2012;8.327,8
Ambos sexos;01 Andalucía;Total;2011;8.299
Ambos sexos;01 Andalucía;Total;2010;8.249,9
Ambos sexos;01 Andalucía;Total;2009;8.193,3
Ambos sexos;01 Andalucía;Total;2008;8.118,9
Ambos sexos;01 Andalucía;Total;2007;8.007,3
Ambos sexos;01 Andalucía;Total;2006;7.880,2
Ambos sexos;01 Andalucía;Española;2022;7.720,6
Ambos sexos;01 Andalucía;Española;2021;7.732,5
Ambos sexos;01 Andalucía;Española;2020;7.765,8
Ambos sexos;01 Andalucía;Española;2019;7.755,5
Ambos sexos;01 Andalucía;Española;2018;7.755,4
Ambos sexos;01 Andalucía;Española;2017;7.777,6
Ambos sexos;01 Andalucía;Española;2016;7.768,4
Ambos sexos;01 Andalucía;Española;2015;7.756,2
Ambos sexos;01 Andalucía;Española;2014;7.742,6
Ambos sexos;01 Andalucía;Española;2013;7.738,8
Ambos sexos;01 Andalucía;Española;2012;7.700,8
Ambos sexos;01 Andalucía;Española;2011;7.678,1
Ambos sexos;01 Andalucía;Española;2010;7.632,3
Ambos sexos;01 Andalucía;Española;2009;7.582,8
Ambos sexos;01 Andalucía;Española;2008;7.536,3
Ambos sexos;01 Andalucía;Española;2007;7.483,2
Ambos sexos;01 Andalucía;Española;2006;7.426,8
Ambos sexos;01 Andalucía;Extranjera: Total;2022;745,5
Ambos sexos;01 Andalucía;Extranjera: Total;2021;703,9
Ambos sexos;01 Andalucía;Extranjera: Total;2020;660,7
Ambos sexos;01 Andalucía;Extranjera: Total;2019;636,6
Ambos sexos;01 Andalucía;Extranjera: Total;2018;597
Ambos sexos;01 Andalucía;Extranjera: Total;2017;570
Ambos sexos;01 Andalucía;Extranjera: Total;2016;576,9
Ambos sexos;01 Andalucía;Extranjera: Total;2015;587,7
Ambos sexos;01 Andalucía;Extranjera: Total;2014;592,6
Ambos sexos;01 Andalucía;Extranjera: Total;2013;593,9
Ambos sexos;01 Andalucía;Extranjera: Total;2012;627
Ambos sexos;01 Andalucía;Extranjera: Total;2011;620,9
Ambos sexos;01 Andalucía;Extranjera: Total;2010;617,5
Ambos sexos;01 Andalucía;Extranjera: Total;2009;610,5
Ambos sexos;01 Andalucía;Extranjera: Total;2008;582,6
Ambos sexos;01 Andalucía;Extranjera: Total;2007;524
Ambos sexos;01 Andalucía;Extranjera: Total;2006;453,4
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2022;217,5
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2021;184,2
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2020;199
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2019;275,2
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2018;253
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2017;247,6
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2016;246,1
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2015;248,2
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2014;285,6
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2013;288,2
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2012;254,5
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2011;238,2
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2010;253,2
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2009;220,4
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2008;220,7
Ambos sexos;01 Andalucía;Extranjera: Unión Europea;2007;209,3
