Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Total
Total Nacional;;Total;79.37
Total Nacional;;Colegiados no jubilados;78.72
Total Nacional;;Colegiados jubilados;0.65
Total Nacional;;No consta;0.00
Total Nacional;01 Andalucía;Total;59.61
Total Nacional;01 Andalucía;Colegiados no jubilados;59.50
Total Nacional;01 Andalucía;Colegiados jubilados;0.12
Total Nacional;01 Andalucía;No consta;0.00
Total Nacional;02 Aragón;Total;56.57
Total Nacional;02 Aragón;Colegiados no jubilados;55.58
Total Nacional;02 Aragón;Colegiados jubilados;0.99
Total Nacional;02 Aragón;No consta;0.00
Total Nacional;03 Asturias, Principado de;Total;95.77
Total Nacional;03 Asturias, Principado de;Colegiados no jubilados;94.38
Total Nacional;03 Asturias, Principado de;Colegiados jubilados;1.39
Total Nacional;03 Asturias, Principado de;No consta;0.00
Total Nacional;04 Balears, Illes;Total;80.24
Total Nacional;04 Balears, Illes;Colegiados no jubilados;79.75
Total Nacional;04 Balears, Illes;Colegiados jubilados;0.49
Total Nacional;04 Balears, Illes;No consta;0.00
Total Nacional;05 Canarias;Total;88.80
Total Nacional;05 Canarias;Colegiados no jubilados;87.68
Total Nacional;05 Canarias;Colegiados jubilados;1.11
Total Nacional;05 Canarias;No consta;0.00
Total Nacional;06 Cantabria;Total;61.42
Total Nacional;06 Cantabria;Colegiados no jubilados;61.25
Total Nacional;06 Cantabria;Colegiados jubilados;0.17
Total Nacional;06 Cantabria;No consta;0.00
Total Nacional;07 Castilla y León;Total;53.56
Total Nacional;07 Castilla y León;Colegiados no jubilados;52.93
Total Nacional;07 Castilla y León;Colegiados jubilados;0.63
Total Nacional;07 Castilla y León;No consta;0.00
Total Nacional;08 Castilla - La Mancha;Total;25.11
Total Nacional;08 Castilla - La Mancha;Colegiados no jubilados;25.11
Total Nacional;08 Castilla - La Mancha;Colegiados jubilados;0.00
Total Nacional;08 Castilla - La Mancha;No consta;0.00
Total Nacional;09 Cataluña;Total;55.04
Total Nacional;09 Cataluña;Colegiados no jubilados;54.33
Total Nacional;09 Cataluña;Colegiados jubilados;0.70
Total Nacional;09 Cataluña;No consta;0.00
Total Nacional;10 Comunitat Valenciana;Total;53.15
Total Nacional;10 Comunitat Valenciana;Colegiados no jubilados;52.84
Total Nacional;10 Comunitat Valenciana;Colegiados jubilados;0.32
Total Nacional;10 Comunitat Valenciana;No consta;0.00
Total Nacional;11 Extremadura;Total;68.15
Total Nacional;11 Extremadura;Colegiados no jubilados;67.96
Total Nacional;11 Extremadura;Colegiados jubilados;0.19
Total Nacional;11 Extremadura;No consta;0.00
Total Nacional;12 Galicia;Total;57.90
Total Nacional;12 Galicia;Colegiados no jubilados;57.38
Total Nacional;12 Galicia;Colegiados jubilados;0.52
Total Nacional;12 Galicia;No consta;0.00
Total Nacional;13 Madrid, Comunidad de;Total;179.00
Total Nacional;13 Madrid, Comunidad de;Colegiados no jubilados;177.84
Total Nacional;13 Madrid, Comunidad de;Colegiados jubilados;1.15
Total Nacional;13 Madrid, Comunidad de;No consta;0.00
Total Nacional;14 Murcia, Región de;Total;97.41
Total Nacional;14 Murcia, Región de;Colegiados no jubilados;96.23
Total Nacional;14 Murcia, Región de;Colegiados jubilados;1.18
Total Nacional;14 Murcia, Región de;No consta;0.00
Total Nacional;15 Navarra, Comunidad Foral de;Total;76.40
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados no jubilados;73.67
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados jubilados;2.73
Total Nacional;15 Navarra, Comunidad Foral de;No consta;0.00
Total Nacional;16 País Vasco;Total;91.82
Total Nacional;16 País Vasco;Colegiados no jubilados;90.95
Total Nacional;16 País Vasco;Colegiados jubilados;0.87
Total Nacional;16 País Vasco;No consta;0.00
Total Nacional;17 Rioja, La;Total;97.17
Total Nacional;17 Rioja, La;Colegiados no jubilados;95.91
Total Nacional;17 Rioja, La;Colegiados jubilados;1.27
Total Nacional;17 Rioja, La;No consta;0.00
Total Nacional;18 Ceuta;Total;37.53
Total Nacional;18 Ceuta;Colegiados no jubilados;37.53
Total Nacional;18 Ceuta;Colegiados jubilados;0.00
Total Nacional;18 Ceuta;No consta;0.00
Total Nacional;19 Melilla;Total;120.13
Total Nacional;19 Melilla;Colegiados no jubilados;120.13
Total Nacional;19 Melilla;Colegiados jubilados;0.00
Total Nacional;19 Melilla;No consta;0.00
