Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Sexo;Total;Total_ps
Total Nacional;;Total;Total;100;100
Total Nacional;;Total;Hombres;18,21;18.21
Total Nacional;;Total;Mujeres;81,79;81.79
Total Nacional;;Colegiados no jubilados;Total;99,18;99.18
Total Nacional;;Colegiados no jubilados;Hombres;17,89;17.89
Total Nacional;;Colegiados no jubilados;Mujeres;81,29;81.29
Total Nacional;;Colegiados jubilados;Total;0,82;0.82
Total Nacional;;Colegiados jubilados;Hombres;0,32;0.32
Total Nacional;;Colegiados jubilados;Mujeres;0,49;0.49
Total Nacional;;No consta;Total;0;0
Total Nacional;;No consta;Hombres;0;0
Total Nacional;;No consta;Mujeres;0;0
Total Nacional;01 Andalucía;Total;Total;100;100
Total Nacional;01 Andalucía;Total;Hombres;19,22;19.22
Total Nacional;01 Andalucía;Total;Mujeres;80,78;80.78
Total Nacional;01 Andalucía;Colegiados no jubilados;Total;99,8;99.8
Total Nacional;01 Andalucía;Colegiados no jubilados;Hombres;19,14;19.14
Total Nacional;01 Andalucía;Colegiados no jubilados;Mujeres;80,66;80.66
Total Nacional;01 Andalucía;Colegiados jubilados;Total;0,2;0.2
Total Nacional;01 Andalucía;Colegiados jubilados;Hombres;0,08;0.08
Total Nacional;01 Andalucía;Colegiados jubilados;Mujeres;0,12;0.12
Total Nacional;01 Andalucía;No consta;Total;0;0
Total Nacional;01 Andalucía;No consta;Hombres;0;0
Total Nacional;01 Andalucía;No consta;Mujeres;0;0
Total Nacional;02 Aragón;Total;Total;100;100
Total Nacional;02 Aragón;Total;Hombres;18,82;18.82
Total Nacional;02 Aragón;Total;Mujeres;81,18;81.18
Total Nacional;02 Aragón;Colegiados no jubilados;Total;98,25;98.25
Total Nacional;02 Aragón;Colegiados no jubilados;Hombres;17,74;17.74
Total Nacional;02 Aragón;Colegiados no jubilados;Mujeres;80,51;80.51
Total Nacional;02 Aragón;Colegiados jubilados;Total;1,75;1.75
Total Nacional;02 Aragón;Colegiados jubilados;Hombres;1,08;1.08
Total Nacional;02 Aragón;Colegiados jubilados;Mujeres;0,67;0.67
Total Nacional;02 Aragón;No consta;Total;0;0
Total Nacional;02 Aragón;No consta;Hombres;0;0
Total Nacional;02 Aragón;No consta;Mujeres;0;0
Total Nacional;03 Asturias, Principado de;Total;Total;100;100
Total Nacional;03 Asturias, Principado de;Total;Hombres;17,86;17.86
Total Nacional;03 Asturias, Principado de;Total;Mujeres;82,14;82.14
Total Nacional;03 Asturias, Principado de;Colegiados no jubilados;Total;98,55;98.55
Total Nacional;03 Asturias, Principado de;Colegiados no jubilados;Hombres;17,13;17.13
Total Nacional;03 Asturias, Principado de;Colegiados no jubilados;Mujeres;81,41;81.41
Total Nacional;03 Asturias, Principado de;Colegiados jubilados;Total;1,45;1.45
Total Nacional;03 Asturias, Principado de;Colegiados jubilados;Hombres;0,73;0.73
Total Nacional;03 Asturias, Principado de;Colegiados jubilados;Mujeres;0,73;0.73
Total Nacional;03 Asturias, Principado de;No consta;Total;0;0
Total Nacional;03 Asturias, Principado de;No consta;Hombres;0;0
Total Nacional;03 Asturias, Principado de;No consta;Mujeres;0;0
Total Nacional;04 Balears, Illes;Total;Total;100;100
Total Nacional;04 Balears, Illes;Total;Hombres;19,55;19.55
Total Nacional;04 Balears, Illes;Total;Mujeres;80,45;80.45
Total Nacional;04 Balears, Illes;Colegiados no jubilados;Total;99,39;99.39
Total Nacional;04 Balears, Illes;Colegiados no jubilados;Hombres;19,25;19.25
Total Nacional;04 Balears, Illes;Colegiados no jubilados;Mujeres;80,14;80.14
Total Nacional;04 Balears, Illes;Colegiados jubilados;Total;0,61;0.61
Total Nacional;04 Balears, Illes;Colegiados jubilados;Hombres;0,31;0.31
Total Nacional;04 Balears, Illes;Colegiados jubilados;Mujeres;0,31;0.31
Total Nacional;04 Balears, Illes;No consta;Total;0;0
Total Nacional;04 Balears, Illes;No consta;Hombres;0;0
Total Nacional;04 Balears, Illes;No consta;Mujeres;0;0
Total Nacional;05 Canarias;Total;Total;100;100
Total Nacional;05 Canarias;Total;Hombres;21,36;21.36
Total Nacional;05 Canarias;Total;Mujeres;78,64;78.64
Total Nacional;05 Canarias;Colegiados no jubilados;Total;98,75;98.75
Total Nacional;05 Canarias;Colegiados no jubilados;Hombres;20,81;20.81
Total Nacional;05 Canarias;Colegiados no jubilados;Mujeres;77,94;77.94
Total Nacional;05 Canarias;Colegiados jubilados;Total;1,25;1.25
Total Nacional;05 Canarias;Colegiados jubilados;Hombres;0,55;0.55
Total Nacional;05 Canarias;Colegiados jubilados;Mujeres;0,7;0.7
Total Nacional;05 Canarias;No consta;Total;0;0
Total Nacional;05 Canarias;No consta;Hombres;0;0
Total Nacional;05 Canarias;No consta;Mujeres;0;0
Total Nacional;06 Cantabria;Total;Total;100;100
Total Nacional;06 Cantabria;Total;Hombres;17,27;17.27
Total Nacional;06 Cantabria;Total;Mujeres;82,73;82.73
Total Nacional;06 Cantabria;Colegiados no jubilados;Total;99,72;99.72
Total Nacional;06 Cantabria;Colegiados no jubilados;Hombres;17,27;17.27
Total Nacional;06 Cantabria;Colegiados no jubilados;Mujeres;82,45;82.45
Total Nacional;06 Cantabria;Colegiados jubilados;Total;0,28;0.28
Total Nacional;06 Cantabria;Colegiados jubilados;Hombres;0;0
Total Nacional;06 Cantabria;Colegiados jubilados;Mujeres;0,28;0.28
Total Nacional;06 Cantabria;No consta;Total;0;0
Total Nacional;06 Cantabria;No consta;Hombres;0;0
Total Nacional;06 Cantabria;No consta;Mujeres;0;0
Total Nacional;07 Castilla y León;Total;Total;100;100
Total Nacional;07 Castilla y León;Total;Hombres;18,93;18.93
Total Nacional;07 Castilla y León;Total;Mujeres;81,07;81.07
Total Nacional;07 Castilla y León;Colegiados no jubilados;Total;98,82;98.82
Total Nacional;07 Castilla y León;Colegiados no jubilados;Hombres;18,54;18.54
Total Nacional;07 Castilla y León;Colegiados no jubilados;Mujeres;80,28;80.28
Total Nacional;07 Castilla y León;Colegiados jubilados;Total;1,18;1.18
