Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Sexo;Total
TOTAL;;Total;Total;100,00
TOTAL;;Total;Hombres;17,86
TOTAL;;Total;Mujeres;82,14
TOTAL;;Colegiados no jubilados;Total;99,11
TOTAL;;Colegiados no jubilados;Hombres;17,51
TOTAL;;Colegiados no jubilados;Mujeres;81,60
TOTAL;;Colegiados jubilados;Total;0,89
TOTAL;;Colegiados jubilados;Hombres;0,35
TOTAL;;Colegiados jubilados;Mujeres;0,54
TOTAL;;No consta;Total;0,00
TOTAL;;No consta;Hombres;0,00
TOTAL;;No consta;Mujeres;0,00
TOTAL;Andalucía;Total;Total;100,00
TOTAL;Andalucía;Total;Hombres;19,72
TOTAL;Andalucía;Total;Mujeres;80,28
TOTAL;Andalucía;Colegiados no jubilados;Total;99,70
TOTAL;Andalucía;Colegiados no jubilados;Hombres;19,57
TOTAL;Andalucía;Colegiados no jubilados;Mujeres;80,13
TOTAL;Andalucía;Colegiados jubilados;Total;0,30
TOTAL;Andalucía;Colegiados jubilados;Hombres;0,15
TOTAL;Andalucía;Colegiados jubilados;Mujeres;0,15
TOTAL;Andalucía;No consta;Total;0,00
TOTAL;Andalucía;No consta;Hombres;0,00
TOTAL;Andalucía;No consta;Mujeres;0,00
TOTAL;Aragón;Total;Total;100,00
TOTAL;Aragón;Total;Hombres;18,23
TOTAL;Aragón;Total;Mujeres;81,77
TOTAL;Aragón;Colegiados no jubilados;Total;97,81
TOTAL;Aragón;Colegiados no jubilados;Hombres;17,01
TOTAL;Aragón;Colegiados no jubilados;Mujeres;80,80
TOTAL;Aragón;Colegiados jubilados;Total;2,19
TOTAL;Aragón;Colegiados jubilados;Hombres;1,22
TOTAL;Aragón;Colegiados jubilados;Mujeres;0,97
TOTAL;Aragón;No consta;Total;0,00
TOTAL;Aragón;No consta;Hombres;0,00
TOTAL;Aragón;No consta;Mujeres;0,00
TOTAL;Asturias, Principado de;Total;Total;100,00
TOTAL;Asturias, Principado de;Total;Hombres;17,45
TOTAL;Asturias, Principado de;Total;Mujeres;82,55
TOTAL;Asturias, Principado de;Colegiados no jubilados;Total;98,01
TOTAL;Asturias, Principado de;Colegiados no jubilados;Hombres;16,65
TOTAL;Asturias, Principado de;Colegiados no jubilados;Mujeres;81,36
TOTAL;Asturias, Principado de;Colegiados jubilados;Total;1,99
TOTAL;Asturias, Principado de;Colegiados jubilados;Hombres;0,80
TOTAL;Asturias, Principado de;Colegiados jubilados;Mujeres;1,20
TOTAL;Asturias, Principado de;No consta;Total;0,00
TOTAL;Asturias, Principado de;No consta;Hombres;0,00
TOTAL;Asturias, Principado de;No consta;Mujeres;0,00
