Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total;Total_num
Total;Total Nacional;Total decil;2022;2.128,37  ;2128.37
Total;Total Nacional;Total decil;2021;2.086,78  ;2086.78
Total;Total Nacional;Total decil;2020;2.038,59  ;2038.59
Total;Total Nacional;Total decil;2019;1.982,31  ;1982.31
Total;Total Nacional;Total decil;2018;1.944,42  ;1944.42
Total;Total Nacional;Total decil;2017;1.888,95  ;1888.95
Total;Total Nacional;Total decil;2016;1.878,09  ;1878.09
Total;Total Nacional;Total decil;2015;1.893,70  ;1893.7
Total;Total Nacional;Total decil;2014;1.881,32  ;1881.32
Total;Total Nacional;Total decil;2013;1.869,11  ;1869.11
Total;Total Nacional;Total decil;2012;1.850,26  ;1850.26
Total;Total Nacional;Total decil;2011;1.841,75  ;1841.75
Total;Total Nacional;Total decil;2010;1.838,82  ;1838.82
Total;Total Nacional;Total decil;2009;1.815,18  ;1815.18
Total;Total Nacional;Total decil;2008;1.774,34  ;1774.34
Total;Total Nacional;Total decil;2007;1.643,46  ;1643.46
Total;Total Nacional;Total decil;2006;1.572,59  ;1572.59
Total;Total Nacional;1;2022;623,30  ;623.3
Total;Total Nacional;1;2021;570,52  ;570.52
Total;Total Nacional;1;2020;521,33  ;521.33
Total;Total Nacional;1;2019;532,31  ;532.31
Total;Total Nacional;1;2018;479,90  ;479.9
Total;Total Nacional;1;2017;464,34  ;464.34
Total;Total Nacional;1;2016;462,72  ;462.72
Total;Total Nacional;1;2015;420,05  ;420.05
Total;Total Nacional;1;2014;411,17  ;411.17
Total;Total Nacional;1;2013;414,49  ;414.49
Total;Total Nacional;1;2012;425,57  ;425.57
Total;Total Nacional;1;2011;464,50  ;464.5
Total;Total Nacional;1;2010;482,43  ;482.43
Total;Total Nacional;1;2009;495,94  ;495.94
Total;Total Nacional;1;2008;501,25  ;501.25
Total;Total Nacional;1;2007;501,73  ;501.73
Total;Total Nacional;1;2006;474,18  ;474.18
Total;Total Nacional;2;2022;1.138,68  ;1138.68
Total;Total Nacional;2;2021;1.042,58  ;1042.58
Total;Total Nacional;2;2020;1.006,63  ;1006.63
Total;Total Nacional;2;2019;994,51  ;994.51
Total;Total Nacional;2;2018;904,87  ;904.87
Total;Total Nacional;2;2017;863,90  ;863.9
Total;Total Nacional;2;2016;856,88  ;856.88
Total;Total Nacional;2;2015;828,96  ;828.96
Total;Total Nacional;2;2014;819,61  ;819.61
Total;Total Nacional;2;2013;812,18  ;812.18
Total;Total Nacional;2;2012;840,19  ;840.19
Total;Total Nacional;2;2011;863,82  ;863.82
Total;Total Nacional;2;2010;893,11  ;893.11
Total;Total Nacional;2;2009;875,93  ;875.93
Total;Total Nacional;2;2008;888,73  ;888.73
Total;Total Nacional;2;2007;852,21  ;852.21
Total;Total Nacional;2;2006;800,67  ;800.67
Total;Total Nacional;3;2022;1.346,27  ;1346.27
Total;Total Nacional;3;2021;1.267,60  ;1267.6
Total;Total Nacional;3;2020;1.236,99  ;1236.99
Total;Total Nacional;3;2019;1.222,45  ;1222.45
Total;Total Nacional;3;2018;1.156,51  ;1156.51
Total;Total Nacional;3;2017;1.121,90  ;1121.9
Total;Total Nacional;3;2016;1.118,31  ;1118.31
Total;Total Nacional;3;2015;1.102,14  ;1102.14
Total;Total Nacional;3;2014;1.100,85  ;1100.85
Total;Total Nacional;3;2013;1.103,32  ;1103.32
Total;Total Nacional;3;2012;1.121,65  ;1121.65
Total;Total Nacional;3;2011;1.128,86  ;1128.86
Total;Total Nacional;3;2010;1.141,96  ;1141.96
Total;Total Nacional;3;2009;1.120,03  ;1120.03
Total;Total Nacional;3;2008;1.113,37  ;1113.37
Total;Total Nacional;3;2007;1.060,66  ;1060.66
Total;Total Nacional;3;2006;1.006,02  ;1006.02
Total;Total Nacional;4;2022;1.528,94  ;1528.94
Total;Total Nacional;4;2021;1.461,63  ;1461.63
Total;Total Nacional;4;2020;1.423,40  ;1423.4
